age,birth_place,division,fight_time_avg,fighting_style,first_round_finishes,height,knockdown_avg,ko_wins,name,nickname,octagon_debut,pos_clinch_pct,pos_ground_pct,pos_stand_pct,reach,record,sig_strikes_absorbed_per_min,sig_strikes_accuracy_pct,sig_strikes_landed_per_min,slug,status,submission_avg,takedown_avg,takedown_defense_pct,target_body_pct,target_head_pct,target_leg_pct,weight,wins_dec,wins_ko_tko,wins_sub
48,Pérou,Poids mi-moyens Division,N/A,N/A,N/A,73.00,N/A,N/A,Tony DeSouza,N/A,"May. 4, 2001",N/A,N/A,N/A,N/A,10-4-0 (W-L-D),N/A,N/A,N/A,tony-desouza,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,170.00,N/A,N/A,N/A
33,Australia,Heavyweight Division,06:12,N/A,N/A,72.00,0.00,6,Ben Sosoli,"""Combat Wombat""","Oct. 18, 2019",5 (12%),0 (0%),38 (88%),40.00,0-1-0 (W-L-D),4.30,31%,43,ben-sosoli,Ne se bat pas,0.00,N/A,N/A,26%,72%,2%,264.00,1 (14%),6 (86%),0 (0%)
29,"Port Angeles, United States",Poids légers Division,12:04,Jiu-Jitsu,1,69.00,0.62,4,Kody Steele,N/A,"Feb. 8, 2025",2 (2%),1 (1%),104 (97%),39.00,7-1-0 (W-L-D),7.17,33%,107,kody-steele,Actif,0.00,100%,N/A,22%,74%,4%,156.00,2 (29%),4 (57%),1 (14%)
27,Israel,Poids moyens Division,01:14,N/A,N/A,N/A,0.00,N/A,Eli Aronov,N/A,"Oct. 21, 2025",0 (0%),1 (9%),10 (91%),N/A,0-1-0 (W-L-D),6.49,69%,11,eli-aronov,Actif,0.00,N/A,N/A,0%,45%,55%,N/A,0 (0 %),0 (0 %),0 (0 %)
30,"Aktobe, Kazakhstan",Poids mouche Division,08:04,MMA,5,66.00,0.00,5,Alibi Idiris,N/A,"Aug. 16, 2025",6 (21%),0 (0%),22 (79%),N/A,11-1-0 (W-L-D),3.60,50%,28,alibi-idiris,Actif,0.00,60%,N/A,61%,32%,7%,126.00,4 (36%),5 (45%),2 (18%)
34,"Providence, United States",Poids coq Division,13:44,N/A,N/A,69.00,0.94,8,Andre Soukhamthath,"""The Asian Sensation""","Mar. 5, 2017",58 (22%),30 (11%),178 (67%),37.50,13-8-0 (W-L-D),4.31,44%,266,andre-soukhamthath,Ne se bat pas,0.16,59%,N/A,33%,46%,21%,136.00,2 (15%),8 (62%),3 (23%)
38,United States,Poids coq Division,10:03,N/A,N/A,64.00,0.37,N/A,Marcus Brimage,"""The Bama Beast""","Dec. 4, 2011",18 (6%),2 (1%),299 (94%),71.00,7-5-0 (W-L-D),3.64,36%,319,marcus-brimage,Ne se bat pas,0.00,80%,N/A,26%,55%,19%,136.00,4 (57%),3 (43%),0 (0%)
38,"San Antonio, United States",Poids moyens Division,11:45,MMA,7,73.00,0.47,10,Eryk Anders,"""Ya Boi""","Jul. 23, 2017",189 (24%),160 (20%),435 (55%),43.50,17-9-0 (W-L-D),4.09,48%,784,eryk-anders,Actif,0.07,80%,N/A,25%,70%,5%,186.00,6 (35%),10 (59%),1 (6%)
29,"Cleveland, United States",Poids moyens Division,09:36,N/A,N/A,71.00,0.00,N/A,Joe Gigliotti,"""Capo""","Aug. 7, 2016",8 (40%),1 (5%),11 (55%),39.00,7-2-0 (W-L-D),2.92,39%,20,joe-gigliotti,Ne se bat pas,0.78,50%,N/A,30%,60%,10%,186.00,0 (0%),3 (43%),4 (57%)
37,Brazil,Poids moyens Division,11:18,Striker,4,73.00,0.27,5,Cesar Almeida,"""Cesinha""","Apr. 6, 2024",39 (17%),63 (27%),133 (57%),43.00,7-1-0 (W-L-D),2.32,59%,235,cesar-almeida,Actif,0.27,60%,N/A,31%,49%,20%,185.50,2 (29%),5 (71%),0 (0%)
29,"Nîmes, France",Poids légers Division,07:35,MMA,7,71.00,0.79,4,Benoît Saint Denis,"""God of War""","Oct. 30, 2021",75 (20%),84 (22%),224 (58%),40.00,15-3-0 (W-L-D),4.19,55%,383,benoit-saint-denis,Actif,1.58,71%,N/A,30%,57%,14%,155.00,0 (0%),4 (27%),11 (73%)
